gender,hs_gpa,year,field,gpa,campus,money,aid,study,freq,drinks,classes,mods,relation,approval,family
1,75.0,2,2,72.0,1,1,0,0,-1,4,4,0,0,1,0
0,73.0,2,2,62.0,1,3,0,4,2,2,1,2,1,1,3
0,86.0,3,8,76.0,1,0,0,3,1,3,1,0,0,1,0
1,70.0,1,0,75.0,1,1,0,3,-1,3,0,0,1,1,3
1,85.0,1,8,88.0,1,0,1,4,-1,0,0,0,1,1,1
0,72.0,2,1,61.0,1,0,0,2,-1,1,0,0,1,1,3
1,73.0,1,2,52.0,1,0,0,2,2,1,1,4,0,1,3
0,76.0,5,2,79.0,1,4,0,3,2,1,0,0,0,1,3
1,76.0,1,4,56.0,0,0,0,4,-1,1,0,0,1,1,0
1,82.0,2,1,70.0,0,0,0,1,2,4,4,0,1,1,0
1,82.0,2,2,60.0,1,0,0,4,1,3,0,0,0,1,3
1,68.0,2,0,57.0,1,0,0,2,1,3,1,3,1,0,0
0,84.0,1,8,64.0,1,0,0,1,2,2,1,0,0,1,3
1,79.0,2,2,60.0,1,4,0,4,1,3,2,2,0,0,0
1,89.0,2,2,74.0,0,0,0,2,1,2,0,0,0,1,3
0,82.0,2,3,73.0,1,1,0,2,-1,3,0,0,1,1,0
0,83.0,2,2,51.0,1,0,0,4,-1,1,0,4,1,1,2
1,83.0,2,4,60.0,0,0,0,3,3,3,4,1,0,1,3
0,76.0,2,2,60.0,1,1,0,2,3,3,2,2,0,1,3
0,76.0,1,1,54.0,1,1,0,1,4,3,4,3,1,1,3
1,78.0,1,8,65.0,0,1,0,1,-1,0,0,2,0,1,3
1,79.0,2,2,64.0,1,1,0,2,2,2,3,3,1,1,3
0,72.0,1,2,61.0,1,0,0,2,1,0,0,1,0,1,3
1,70.0,5,0,68.0,1,0,0,1,3,2,2,0,0,1,3
1,72.0,2,2,53.0,1,0,0,3,-1,4,0,4,1,1,0
0,76.0,1,2,50.0,0,3,0,0,-1,3,0,4,1,1,3
0,81.0,1,0,64.0,1,0,0,1,1,3,1,0,0,0,0
0,85.0,2,2,73.0,1,1,0,4,2,1,4,0,1,1,3
0,85.0,2,2,73.0,1,1,0,4,2,1,4,0,1,1,3
0,80.0,2,2,50.0,1,1,0,3,1,1,0,1,1,1,3
0,84.0,2,2,68.0,1,2,0,3,3,2,1,0,0,1,3
1,69.0,4,0,65.0,1,3,0,3,2,4,2,2,0,1,3
1,76.0,4,2,71.0,1,1,0,1,1,3,0,0,0,1,3
0,78.0,2,1,65.0,1,1,0,3,-1,2,2,1,0,1,0
0,88.0,2,2,72.0,1,0,0,4,1,1,1,0,1,1,2
0,92.0,3,8,70.0,1,3,0,2,4,4,2,0,0,1,3
1,74.0,3,2,77.0,1,2,0,2,1,4,1,0,1,1,3
1,78.0,2,0,60.0,0,0,0,0,3,4,4,0,0,1,0
0,90.0,1,2,75.0,0,0,1,2,-1,1,0,1,0,1,0
1,84.0,2,2,68.0,0,0,0,1,4,3,0,0,0,1,0
1,80.0,4,2,63.0,1,1,0,4,-1,3,0,2,1,1,3
1,71.0,2,2,55.0,1,2,0,4,-1,4,2,2,1,1,3
0,80.0,2,2,73.0,1,3,0,2,1,1,1,0,1,0,3
0,75.0,2,1,80.0,1,2,0,2,-1,3,0,0,0,1,0
1,82.0,2,2,69.0,0,0,0,0,4,4,0,0,0,0,3
0,80.0,2,1,70.0,1,2,0,4,3,2,4,0,1,1,3
1,73.0,2,2,73.5,1,0,0,4,-1,2,0,0,1,1,3
1,63.0,1,2,68.0,1,0,0,2,3,4,1,0,0,1,0
0,79.0,1,3,77.0,1,3,1,3,3,1,0,0,0,1,3
0,81.0,2,8,70.0,1,0,0,2,-1,1,0,1,0,0,3
0,82.0,2,2,60.0,1,3,0,4,2,1,0,4,0,1,3
0,75.0,3,2,50.0,1,3,0,0,-1,2,0,4,1,1,3
0,72.0,1,1,73.0,1,0,0,1,-1,3,0,0,0,1,0
